Id_bien;No_voie;B/T/Q;Type_voie;Voie;Surface_carrez;Type_local;Nombre_pieces;codedep_codecom
5730;15;;AV;DE LA GARONNETTE;67,49;Appartement;3;31555
5731;36;;RUE;BOULBONNE;45,01;Appartement;3;31555
5732;3;;ALL;FORAIN F VERDIER;118,19;Appartement;5;31555
5733;12;;RUE;ESCOUSSIERES MONTGAILLARD;15,27;Appartement;1;31555
5734;13;;RUE;SAINT HENRI;69,69;Appartement;2;31555
5735;8;;RUE;DARQUIER;47,03;Appartement;3;31555
5736;3;;RUE;LEONCE CASTELBOU;39,95;Appartement;1;31555
5737;6;;RUE;PERCHEPINTE;31,71;Appartement;2;31555
5738;8;;BD;D'ARCOLE;41,92;Appartement;1;31555
5739;23;;RUE;ROQUELAINE;175,75;Appartement;5;31555
5740;37;;ALL;DE BRIENNE;37,33;Appartement;2;31555
5741;11;;RUE;CLEMENCE ISAURE;15,93;Appartement;1;31555
5742;72;;BD;DE STRASBOURG;21,47;Appartement;1;31555
5743;16;;PL;SAINT GEORGES;121,72;Appartement;4;31555
5744;75;;BD;MATABIAU;13,91;Appartement;1;31555
5745;12;;RUE;ESCOUSSIERES MONTGAILLARD;17,78;Appartement;1;31555
5746;11;;BD;LAZARE CARNOT;70,37;Appartement;2;31555
5747;9;;RUE;BOULBONNE;21,68;Appartement;1;31555
5748;31;;RUE;DENFERT ROCHEREAU;34,95;Appartement;2;31555
5749;37;B;AV;HONORE SERRES;63,76;Appartement;2;31555
5750;8;;RUE;PIERRE SALIES;21,14;Appartement;1;31555
5751;45;;RUE;DES TOURNEURS;85,66;Appartement;4;31555
5752;12;;BD;DE STRASBOURG;75,7;Appartement;4;31555
5753;34;B;RUE;DU PRINTEMPS;35,69;Appartement;2;31555
5754;22;;RUE;CUJAS;63,06;Appartement;3;31555
5755;3;;RUE;LAFAILLE;57,59;Appartement;3;31555
5756;47;;BD;RIQUET;70,35;Appartement;3;31555
5757;12;;RUE;BROUARDEL;37,03;Appartement;2;31555
5758;5;;RUE;DES POTIERS;45,29;Appartement;2;31555
5759;11;;RUE;RIQUET;86,13;Appartement;3;31555
5760;1;;PL;SAINTES SCARBES;44,5;Appartement;2;31555
5761;20;;RUE;SAINTE ANNE;97,05;Appartement;3;31555
5762;40;;PL;DES CARMES;115,29;Appartement;3;31555
5763;54;;RUE;BAYARD;33,5;Appartement;1;31555
5764;18;;RUE;DES MOULINS;55,51;Appartement;2;31555
5765;43;;RUE;DE L INDUSTRIE;17,57;Appartement;1;31555
5766;15;;BD;LASCROSSES;78,45;Appartement;4;31555
5767;13;;RUE;DU PRINTEMPS;39,46;Appartement;2;31555
5768;20;;RUE;DES QUETEURS;22,67;Appartement;1;31555
5769;18;;RUE;ALEXANDRE FOURTANIER;76,1;Appartement;3;31555
5770;30;;RUE;DES SALENQUES;30,45;Appartement;1;31555
5771;22;;RUE;MAGE;51,01;Appartement;2;31555
5772;35;B;RUE;GABRIEL PERI;85,96;Appartement;3;31555
5773;39;;RUE;DE LA CONCORDE;56,52;Appartement;3;31555
5774;11;;RUE;DE L INDUSTRIE;85,61;Appartement;4;31555
5775;2;B;RUE;DU MAY;12,75;Appartement;1;31555
5776;35;;BD;LAZARE CARNOT;74,11;Appartement;3;31555
5777;12;;RUE;AUGUSTE GRANIER;97,98;Appartement;4;31555
5778;11;;RUE;DES RENFORTS;56,24;Appartement;3;31555
5779;40;T;RUE;DU PRINTEMPS;123,99;Appartement;3;31555
5780;1;;AV;DE L'ANCIEN VELODROME;62,39;Appartement;3;31555
5781;9;;RUE;DES QUATRE BILLARDS;17,75;Appartement;1;31555
5782;10;;RUE;DE CHATEAUDUN;15,55;Appartement;1;31555
5783;48;;RUE;DU TAUR;18,81;Appartement;1;31555
5784;31;;CHE;VOUET;56,03;Appartement;3;31555
5785;6;;RTE;DE SAINT SIMON;83,1;Appartement;4;31555
5786;7;;ALL;GABRIELLE DE COIGNARD;20,99;Appartement;1;31555
5787;5;;IMP;OCTAVE SAGE;114,81;Maison;5;31555
5788;1;;RUE;VESTREPAIN;85,28;Appartement;4;31555
5789;6;;RUE;DE BRUXELLES;63,31;Appartement;4;31555
5790;34;;RUE;DU MEDECIN COL CALBAIRAC;47,12;Appartement;2;31555
5791;31;;RUE;DE GIRONIS;26,04;Appartement;1;31555
5792;390;;RTE;DE SAINT SIMON;50,22;Appartement;2;31555
5793;1;;RUE;MIREILLE SORGUE;52,31;Appartement;3;31555
5794;10;;CHEM;ANDRE MESSAGER;80;Appartement;4;31555
5795;18;;AV;AIGNAN CARRIERE;65,85;Appartement;3;31259
5796;41;;RUE;DU PASTEL;37,29;Appartement;2;31259
5797;;;AV;DE FALGARDE;44,48;Appartement;2;31259
5798;2;;RUE;EDMOND ROSTAND;31,49;Appartement;1;31044
5799;11;;RUE;COLUCHE;43,84;Appartement;2;31044
